Relay Race Experts

Channel 0 - [2, 0, 0, 0, 2, 2, 0, 0] - ['', '', '', '', '', '', '', '']
Channel 3 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 4 - [4, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 5 - [5, '', '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 6 - [6, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - [1, 6, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', ''] 
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 16 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - [2, '', '', '', '', '', '', '']
Channel 19 - ['', 0, '', 0, '', 0, '', 0] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 21 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 7, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 23 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 25 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 26 - [3, 5, 2, 5, '', '', '', ''] - ['', 2, '', '', '', '', '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 1 - [1, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 2 - [2, '', '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 3 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 4 - [4, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 5 - [5, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 0 - [6, '', '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - [1, 6, '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', 1, '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [3, 1, '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 1 - [1, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 2 - [2, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 3 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 0 - [4, '', '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 5 - [5, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 6 - [6, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - [1, 6, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', 1, '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 1 - [1, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 2 - [2, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 3 - [3, 1, '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 4 - [4, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 5 - [5, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 6 - [6, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - [1, 6, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', 1, '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 18 - ['', '', '', '', '', '', '', ''] - [2, '', '', '', '', '', '', '']
Channel 19 - ['', 0, '', 0, '', 0, '', 0] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 21 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 7, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 23 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 26 - [3, 5, 2, 5, '', '', '', ''] - ['', 2, '', '', '', '', '', '']
Channel 27 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 1 - [1, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 2 - [2, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 3 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 0 - [4, '', '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 5 - [5, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 6 - [6, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - [1, 6, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', '', 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', 1, '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 1 - [1, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 0 - [2, '', '', '', '', 0, 0, ''] - [2, '', '', '', 2, 2, '', '']
Channel 3 - [3, 1, '', 4, 3, 3, 7, 1] - [2, '', '', '', 2, 2, '', '']
Channel 4 - [4, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 5 - [5, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
Channel 6 - [6, '', '', '', '', '', '', ''] - [2, '', '', '', 2, 2, '', '']
